,연도,선수이름,팀명,평균자책점,경기,승,패,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당 출루허용률
330,2016,안지만,삼성,5.79,31,2,5,5,5,0.286,37 1/3,44,9,15,4,41,26,24,1.58
331,2016,정인욱,삼성,6.81,27,4,7,0,0,0.364,111,138,19,62,8,70,92,84,1.80
332,2016,장원삼,삼성,7.01,26,5,8,0,2,0.385,78 1/3,114,16,23,2,53,69,61,1.75
333,2016,김기태,삼성,7.08,17,4,4,0,0,0.500,75,94,20,22,10,34,61,59,1.55
334,2016,박근홍,삼성,7.46,60,0,2,0,9,0.000,41,42,5,27,4,40,34,34,1.68
335,2016,플란데,삼성,7.60,13,2,6,0,0,0.250,68 2/3,92,13,33,1,56,66,58,1.82
336,2016,김동호,삼성,7.64,33,0,1,0,2,0.000,33,46,5,14,3,21,28,28,1.82
337,2016,벨레스터,삼성,8.03,3,0,3,0,0,0.000,12 1/3,20,1,12,0,5,14,11,2.59
338,2016,레온,삼성,11.25,2,0,1,0,0,0.000,8,16,2,1,1,7,10,10,2.13
339,2016,최충연,삼성,12.91,3,0,2,0,0,0.000,7 2/3,11,2,11,0,6,11,11,2.87
340,2016,조현근,삼성,13.50,3,0,0,0,0,-,5 1/3,12,2,3,1,5,8,8,2.81
341,2016,임현준,삼성,36.00,2,0,0,0,0,-,1,4,1,0,1,0,4,4,4.00
342,2016,정우람,한화,3.33,61,8,5,16,1,0.615,81,64,7,26,4,85,33,30,1.11
343,2016,권혁,한화,3.87,66,6,2,3,13,0.750,95 1/3,93,5,42,7,77,45,41,1.42
344,2016,로저스,한화,4.30,6,2,3,0,0,0.400,37 2/3,42,3,12,2,24,22,18,1.43
345,2016,장민재,한화,4.68,48,6,6,0,1,0.500,119 1/3,133,15,67,4,92,66,62,1.68
346,2016,정대훈,한화,4.89,36,1,0,0,0,1.000,38 2/3,47,3,10,1,26,24,21,1.47
347,2016,이태양,한화,4.97,29,5,8,1,0,0.385,112 1/3,128,15,62,3,60,66,62,1.69
348,2016,송창식,한화,4.98,66,8,5,0,8,0.615,97 2/3,97,10,45,10,77,61,54,1.45
349,2016,송신영,한화,5.02,11,0,1,0,0,0.000,14 1/3,24,1,2,1,7,8,8,1.81
350,2016,송창현,한화,5.06,11,0,0,0,0,-,10 2/3,9,0,6,0,11,6,6,1.41
351,2016,이동걸,한화,5.40,5,0,0,0,0,-,5,6,2,2,0,1,3,3,1.60
352,2016,박정진,한화,5.57,77,4,4,0,6,0.500,84,96,11,33,2,85,58,52,1.54
353,2016,심수창,한화,5.96,66,5,5,2,6,0.500,113 1/3,138,14,58,4,76,86,75,1.73
354,2016,이재우,한화,6.04,15,0,1,0,0,0.000,25 1/3,34,9,14,3,18,20,17,1.89
355,2016,서캠프,한화,6.31,17,2,5,1,0,0.286,41 1/3,54,5,17,5,36,32,29,1.72
356,2016,송은범,한화,6.42,30,2,11,0,1,0.154,122,159,13,49,5,85,95,87,1.70
357,2016,카스티요,한화,6.43,20,7,4,0,0,0.636,84,106,7,40,10,60,62,60,1.74
358,2016,윤규진,한화,6.82,41,7,7,1,3,0.500,100 1/3,125,19,54,8,74,78,76,1.78
359,2016,정재원,한화,7.59,14,0,0,0,0,-,21 1/3,28,2,9,1,16,19,18,1.73
360,2016,김경태,한화,7.71,10,0,0,0,0,-,11 2/3,17,2,9,0,12,10,10,2.23
361,2016,마에스트리,한화,9.42,9,2,2,0,0,0.500,28 2/3,37,4,34,1,23,37,30,2.48
362,2016,김범수,한화,9.53,5,1,0,0,0,1.000,5 2/3,6,1,6,1,5,6,6,2.12
363,2016,김용주,한화,9.77,17,0,2,0,0,0.000,15 2/3,19,2,15,0,12,18,17,2.17
364,2016,김재영,한화,10.32,11,0,0,0,0,-,11 1/3,18,2,8,3,4,14,13,2.29
365,2016,김민우,한화,15.83,5,0,3,0,0,0.000,9 2/3,21,2,8,0,7,18,17,3.00
366,2016,안영명,한화,20.25,2,0,1,0,0,0.000,2 2/3,9,0,4,0,1,10,6,4.88
367,2016,황재규,한화,24.55,2,0,0,0,0,-,3 2/3,10,1,2,1,2,11,10,3.27
368,2016,윤석민,KIA,3.19,16,2,2,1,6,0.500,31,36,1,8,5,26,14,11,1.42
369,2016,헥터,KIA,3.40,31,15,5,0,0,0.750,206 2/3,211,7,51,6,139,88,78,1.27
370,2016,최영필,KIA,3.61,54,4,3,2,10,0.571,57 1/3,74,6,8,3,54,26,23,1.43
371,2016,양현종,KIA,3.68,31,10,12,0,0,0.455,200 1/3,191,19,77,2,146,96,82,1.34
372,2016,임창용,KIA,4.37,34,3,3,15,0,0.500,35,45,5,10,1,38,18,17,1.57
373,2016,김진우,KIA,4.80,11,2,1,0,2,0.667,15,16,3,5,2,10,8,8,1.40
374,2016,김명찬,KIA,4.85,11,0,0,0,1,-,13,17,1,4,1,10,7,7,1.62
375,2016,한승혁,KIA,4.86,36,3,2,1,9,0.600,33 1/3,36,3,19,2,31,21,18,1.65
